无人机编号,方向(°),速度(m/s),干扰弹编号,投放点x,投放点y,投放点z,起爆点x,起爆点y,起爆点z,有效干扰时长,干扰导弹编号
FY1,178,107,1,17800,0,1800,17479.1955445269,11.2027384415029,1755.9,4.47496948242187,M1
FY1,178,107,2,17693.065181509,3.73424614716762,1800,17693.065181509,3.73424614716762,1800,0,M1
FY1,178,107,3,17586.1303630179,7.46849229433524,1800,17586.1303630179,7.46849229433524,1800,0,M1
FY2,280,89,1,12126.7284400613,681.287301851691,1400,12173.0925034984,418.343631797431,1355.9,3.83933715820312,M2
FY2,280,89,2,12142.1831278737,593.639411833604,1400,12176.9561754515,396.431659292909,1375.19375,3.54288330078126,M2
FY2,280,89,3,12157.637815686,505.991521815518,1400,12157.637815686,505.991521815518,1400,0,M2
FY3,82,117,1,6384.28476637093,-265.671808590776,700,6433.13452480792,81.9122835375157,655.9,2.98132934570312,M1
FY3,82,117,2,6400.56801918326,-149.810444548012,700,6424.99289840175,23.9816015161335,688.975,2.22779541015624,M1
FY3,82,117,3,6416.85127199559,-33.9490805052483,700,6416.85127199559,-33.9490805052483,700,0,M1
FY4,0,70,1,12680,2000,1800,12995,2000,1700.775,0,M1
FY4,0,70,2,12750,2000,1800,12750,2000,1800,0,M1
FY4,0,70,3,12820,2000,1800,12820,2000,1800,0,M1
FY5,118,122,1,12232.5078891576,-556.557275194226,1300,12146.5945931678,-394.977865701042,1288.975,3.62838134765625,M3
FY5,118,122,2,12175.2323584977,-448.837668865437,1300,12175.2323584977,-448.837668865437,1300,0,M3
FY5,118,122,3,12117.9568278379,-341.118062536648,1300,12117.9568278379,-341.118062536648,1300,0,M3
